id,t_date,code,name,p_open,p_high,p_low,p_close,volume
233020190802,2019/08/02,2330,台積電,252.00,253.50,250.50,251.50,54022
231720190802,2019/08/02,2317,鴻海,76.50,76.60,75.50,75.50,51772
130120190802,2019/08/02,1301,台塑,98.90,98.90,97.50,97.50,11967
245420190802,2019/08/02,2454,聯發科,310.50,316.50,309.50,316.00,13587
130320190802,2019/08/02,1303,南亞,70.00,70.20,69.50,69.70,11071
241220190802,2019/08/02,2412,中華電,107.00,107.50,107.00,107.00,9178
121620190802,2019/08/02,1216,統一,76.10,77.60,75.70,76.80,8976
300820190802,2019/08/02,3008,大立光,4030.00,4090.00,3880.00,3890.00,1788
289120190802,2019/08/02,2891,中信金,20.15,20.20,20.00,20.05,37455
132620190802,2019/08/02,1326,台化,92.90,93.30,91.70,92.00,10872
230820190802,2019/08/02,2308,台達電,150.50,152.50,148.50,152.50,10215
288220190802,2019/08/02,2882,國泰金,40.15,40.20,40.00,40.10,22896
288120190802,2019/08/02,2881,富邦金,42.50,42.60,42.30,42.35,13504
288620190802,2019/08/02,2886,兆豐金,31.30,31.35,31.10,31.35,34278
200220190802,2019/08/02,2002,中鋼,23.65,23.70,23.50,23.65,21206
288420190802,2019/08/02,2884,玉山金,25.25,25.40,25.10,25.25,37913
289220190802,2019/08/02,2892,第一金,22.80,22.95,22.80,22.95,21686
110120190802,2019/08/02,1101,台泥,43.85,44.00,43.50,43.55,27673
288520190802,2019/08/02,2885,元大金,17.25,17.30,17.05,17.05,22276
371120190802,2019/08/02,3711,日月光投控,68.90,70.00,67.00,68.80,16209
304520190802,2019/08/02,3045,台灣大,108.50,110.00,108.00,109.00,4033
588020190802,2019/08/02,5880,合庫金,20.65,20.70,20.55,20.65,20604
288020190802,2019/08/02,2880,華南金,21.30,21.40,21.25,21.35,20438
291220190802,2019/08/02,2912,統一超,295.00,296.00,292.00,294.00,1076
587620190802,2019/08/02,5876,上海商銀,49.30,49.70,48.70,48.85,10761
247420190802,2019/08/02,2474,可成,224.50,226.50,221.50,223.00,5594
220720190802,2019/08/02,2207,和泰車,437.00,442.00,431.00,431.00,629
238220190802,2019/08/02,2382,廣達,55.10,55.40,54.80,54.90,11400
230320190802,2019/08/02,2303,聯電,13.15,13.35,13.05,13.35,45050
235720190802,2019/08/02,2357,華碩,212.50,214.00,209.00,211.00,2488
587120190802,2019/08/02,5871,中租-KY,130.00,130.50,124.00,125.50,10045
650520190802,2019/08/02,6505,台塑化,104.00,105.50,104.00,105.00,2587
288720190802,2019/08/02,2887,台新金,14.35,14.40,14.25,14.25,25790
289020190802,2019/08/02,2890,永豐金,12.10,12.15,12.05,12.05,28300
140220190802,2019/08/02,1402,遠東新,29.15,29.15,28.75,28.90,9320
288320190802,2019/08/02,2883,開發金,9.14,9.17,9.11,9.15,25486
280120190802,2019/08/02,2801,彰銀,21.35,21.60,21.25,21.25,15890
490420190802,2019/08/02,4904,遠傳,71.10,71.30,70.80,71.00,4358
110220190802,2019/08/02,1102,亞泥,41.00,41.40,40.70,41.00,9160
493820190802,2019/08/02,4938,和碩,50.00,50.20,49.60,49.70,8619
232720190802,2019/08/02,2327,國巨,261.00,263.00,257.50,257.50,5414
990420190802,2019/08/02,9904,寶成,36.95,37.35,36.80,36.90,6401
239520190802,2019/08/02,2395,研華,258.50,261.00,257.50,258.50,530
230120190802,2019/08/02,2301,光寶科,46.15,47.00,46.05,47.00,22747
263320190802,2019/08/02,2633,台灣高鐵,41.00,41.20,40.65,41.00,7423
240920190802,2019/08/02,2409,友達,8.02,8.14,7.93,8.14,69237
991020190802,2019/08/02,9910,豐泰,204.00,205.00,202.00,202.50,852
210520190802,2019/08/02,2105,正新,39.00,39.25,38.70,39.00,4168
282320190802,2019/08/02,2823,中壽,24.90,24.95,24.70,24.85,10199
240820190802,2019/08/02,2408,南亞科,72.70,73.40,71.80,72.30,32679
