t_date,code,p_open,p_high,p_low,p_close,volume,fi_st,fi_netbs,it_netbs,sq_netbs,pbr,per,dividend_yield
2014-01-02,2330,105,105.5,103.5,104.5,15134,19891688,-4784,-984,925,3.37,14.66,2.86
2014-01-03,2330,103,103,102,102.5,38687,19867876,-24222,-752,1032,3.31,14.38,2.92
2014-01-06,2330,102,103,102,102.5,23730,19854660,-13215,69,79,3.31,14.38,2.92
2014-01-07,2330,102.5,103,102,102,15865,19859148,-3013,258,262,3.29,14.31,2.93
2014-01-08,2330,103,104.5,102.5,104,30329,19863160,4012,344,-351,3.35,14.59,2.88
2014-01-09,2330,102.5,103,100.5,101,64072,19831236,-31923,373,-33,3.26,14.17,2.96
2014-01-10,2330,102,102.5,101.5,102,33305,19811864,-19017,1539,718,3.29,14.31,2.93
2014-01-13,2330,103,103.5,102.5,103,19647,19808532,-3330,480,2349,3.32,14.45,2.9
2014-01-14,2330,102.5,103.5,102,103.5,21718,19802924,-5729,1286,2495,3.34,14.52,2.89
2014-01-15,2330,104,106,104,105,54458,19812802,8127,2311,4000,3.39,14.73,2.85
2014-01-16,2330,106,107.5,106,107,49601,19823688,9983,1689,900,3.45,15.01,2.79
2014-01-17,2330,108,108.5,107,107.5,53509,19849812,26004,433,-7593,3.47,15.08,2.78
2014-01-20,2330,107,108.5,107,107.5,24299,19855552,5741,-25,-1231,3.47,15.08,2.78
2014-01-21,2330,108.5,108.5,106,106.5,24621,19860628,5075,117,-447,3.44,14.94,2.81
2014-01-22,2330,106,107.5,106,107.5,28727,19863944,3498,-81,579,3.47,15.08,2.78
2014-01-23,2330,108.5,108.5,107.5,107.5,27954,19870488,6396,-4,-760,3.47,15.08,2.78
2014-01-24,2330,107,108.5,107,108,34059,19872456,2376,142,-66,3.48,15.15,2.77
2014-01-27,2330,106,106.5,104,105,65071,19844664,-28992,1166,1233,3.39,14.73,2.85
