t_date,code,p_open,p_high,p_low,p_close,volume,fi_st,fi_netbs,it_netbs,sq_netbs,pbr,per,dividend_yield,pred,pred_up,pred_down
2014/1/2,2881,43.65,44.15,43.45,43.55,15774,3119424,1011,242,583,1.48,13.48,2.3,¶^,0,1
2014/1/3,2881,43.55,43.55,43,43,13808,3118677,-747,-1792,-729,1.46,13.31,2.33,¶^,0,1
2014/1/6,2881,42.75,42.85,42.25,42.25,14396,3116451,-2226,-400,-948,1.43,13.08,2.37,¶^,0,1
2014/1/7,2881,42.3,42.8,42.3,42.6,11324,3121847,3119,-418,139,1.45,13.19,2.35,º¦,1,0
2014/1/8,2881,42.9,42.95,42.5,42.5,8675,3124760,2913,-1048,32,1.44,13.16,2.35,¶^,0,1
2014/1/9,2881,42.95,43.05,42.85,43,10767,3130018,5258,-12,-18,1.46,13.31,2.33,º¦,1,0
2014/1/10,2881,43.05,43.2,42.7,42.7,12159,3129777,-251,18,-70,1.45,13.22,2.34,¶^,0,1
2014/1/13,2881,43.1,43.35,42.8,43.35,8735,3131436,1660,91,-452,1.47,13.42,2.31,º¦,1,0
2014/1/14,2881,43,43.4,42.8,43.3,9028,3132706,1270,-67,468,1.47,13.41,2.31,¶^,0,1
2014/1/15,2881,43.4,43.55,43.05,43.05,14194,3135698,2461,-517,-5,1.46,13.33,2.32,¶^,0,1
2014/1/16,2881,43.45,43.5,43,43,11507,3137673,1611,-121,1187,1.46,13.31,2.33,¶^,0,1
2014/1/17,2881,43.1,43.25,42.9,43.05,8325,3138798,1209,-5,371,1.46,13.33,2.32,º¦,1,0
2014/1/20,2881,43.2,43.65,43.05,43.6,12308,3142348,3550,0,-31,1.48,13.5,2.29,º¦,1,0
2014/1/21,2881,43.5,44.05,43.45,43.7,16322,3142317,-31,28,1738,1.48,13.53,2.29,º¦,1,0
2014/1/22,2881,43.7,43.95,43.6,43.9,10260,3144226,2133,105,-1034,1.49,13.59,2.28,º¦,1,0
2014/1/23,2881,43.9,43.9,43.4,43.4,11800,3140511,-3714,162,-667,1.47,13.44,2.3,¶^,0,1
2014/1/24,2881,43.1,43.6,43,43.3,15462,3137645,-2867,-855,168,1.47,13.41,2.31,¶^,0,1
2014/1/27,2881,42.8,42.9,42.4,42.8,26923,3127452,-10606,-434,-533,1.45,13.25,2.34,¶^,0,1
2014/2/5,2881,41.9,42.3,41.3,41.3,39169,3108812,-18651,-788,-336,1.4,12.79,2.42,¶^,0,1
2014/2/6,2881,41.7,41.7,41.35,41.5,15465,3101004,-7373,-72,-6,1.41,12.85,2.41,º¦,1,0
2014/2/7,2881,41.9,41.9,41.6,41.75,14196,3095873,-5131,-1288,12,1.42,12.93,2.4,º¦,1,0
2014/2/10,2881,41.8,42.05,41.6,41.6,11121,3091435,-4360,-1292,146,1.41,12.88,2.4,¶^,0,1
2014/2/11,2881,42.2,42.35,42.1,42.1,10046,3090334,-1136,-799,-77,1.43,13.03,2.38,º¦,1,0
2014/2/12,2881,42.3,42.6,42.25,42.6,11426,3091068,769,-586,-195,1.45,13.19,2.35,º¦,1,0
2014/2/13,2881,42.5,42.75,42.25,42.4,8490,3091266,198,842,-716,1.44,13.13,2.36,¶^,0,1
2014/2/14,2881,42.5,42.95,42.5,42.8,14185,3094502,3141,-40,71,1.45,13.25,2.34,º¦,1,0
2014/2/17,2881,43,43,42.45,42.45,7467,3095215,713,-791,-201,1.44,13.14,2.36,¶^,0,1
