t_date,p_close,code,volume,fi_st,fi_netbs,it_netbs,sq_netbs,pbr,per,dividend_yield,pred_days
2014/1/2,18.6,2801,14519,1009271,2241,507,274,1.3,18.06,4.3,E
2014/1/3,18.3,2801,7187,1008352,-939,1997,-188,1.28,17.77,4.37,D
2014/1/6,18.2,2801,4929,1009816,1464,-10,-20,1.28,17.67,4.4,D
2014/1/7,18.4,2801,5358,1012595,1166,-3,20,1.29,17.86,4.35,D
2014/1/8,18.3,2801,4803,1012435,-160,1,190,1.28,17.77,4.37,D
2014/1/9,18.1,2801,7342,1011860,-630,-2,-14,1.27,17.57,4.42,C
2014/1/10,18.25,2801,4855,1011968,108,0,-120,1.28,17.72,4.38,D
2014/1/13,18.5,2801,12021,1014666,2618,350,204,1.3,17.96,4.32,D
2014/1/14,18.25,2801,10810,1014417,-279,2,191,1.28,17.72,4.38,C
2014/1/15,18.25,2801,11220,1017826,3160,-109,-299,1.28,17.72,4.38,D
2014/1/16,18.5,2801,11514,1021770,3819,-2,-475,1.3,17.96,4.32,D
2014/1/17,18.4,2801,5692,1023791,2021,-4,8,1.29,17.86,4.35,D
2014/1/20,18.45,2801,2993,1024551,760,0,102,1.29,17.91,4.34,D
2014/1/21,18.3,2801,9719,1025087,623,-7,171,1.28,17.77,4.37,D
2014/1/22,18.4,2801,6929,1026549,1876,-10,-149,1.29,17.86,4.35,D
2014/1/23,18.3,2801,5794,1026292,-257,600,-98,1.28,17.77,4.37,D
2014/1/24,18.4,2801,7378,1027054,762,97,184,1.29,17.86,4.35,E
2014/1/27,17.95,2801,15314,1017976,-9234,-3,-236,1.26,17.43,4.46,D
2014/2/5,17.65,2801,19688,1009793,-8183,-181,-267,1.24,17.14,4.53,C
2014/2/6,17.7,2801,12593,1004405,-5255,0,-698,1.24,17.18,4.52,C
2014/2/7,17.75,2801,7913,1002711,-1724,0,-341,1.24,17.23,4.51,C
2014/2/10,17.8,2801,3123,1001708,-982,-124,-27,1.25,17.28,4.49,D
2014/2/11,17.95,2801,3433,1002051,333,-3,-28,1.26,17.43,4.46,D
2014/2/12,18.15,2801,6574,1002458,482,0,-307,1.27,17.62,4.41,D
2014/2/13,18,2801,3939,1003412,954,-10,-61,1.26,17.48,4.44,D
2014/2/14,18.1,2801,4981,1007195,3744,0,10,1.27,17.57,4.42,D
2014/2/17,17.95,2801,2890,1007767,552,0,9,1.26,17.43,4.46,D
2014/2/18,18.1,2801,2872,1008986,1209,-5,21,1.27,17.57,4.42,D
2014/2/19,18.2,2801,3350,1010471,1485,-66,-5,1.28,17.67,4.4,E
2014/2/20,17.9,2801,4913,1010450,-1,-64,-25,1.26,17.38,4.47,D
2014/2/21,18.1,2801,5574,1012736,2149,-4,49,1.27,17.57,4.42,E
2014/2/24,18,2801,9477,1014426,1671,0,-277,1.26,17.48,4.44,D
2014/2/25,17.95,2801,4070,1016126,1700,0,-23,1.26,17.43,4.46,D
2014/2/26,17.9,2801,7948,1017076,935,0,51,1.26,17.38,4.47,C
2014/3/18,17.65,2801,5731,1014416,473,-1,4,1.24,17.14,4.53,C
2014/3/27,17.8,2801,7597,1003883,-671,0,1433,1.25,17.28,4.49,D
2014/3/28,18,2801,11014,1005983,1990,-5,540,1.26,17.48,4.44,D
2014/3/31,18.05,2801,5897,1007298,1081,0,-77,1.24,17.52,4.43,D
2014/4/1,18.05,2801,3904,1008523,1664,-65,35,1.24,15.83,4.43,D
2014/4/2,17.85,2801,5352,1009571,548,500,-311,1.23,15.66,4.48,D
2014/4/3,18,2801,4704,1011923,1741,-1643,26,1.24,15.79,4.44,D
2014/4/7,18.05,2801,8118,1013840,2359,-1020,-25,1.24,15.83,4.43,D
2014/4/8,18,2801,4491,1014590,635,0,301,1.24,15.79,4.44,D
2014/4/9,18.1,2801,4078,1016073,1372,0,74,1.25,15.88,4.42,D
2014/4/10,18,2801,5759,1016332,259,-309,5,1.24,15.79,4.44,D
2014/4/11,17.8,2801,11503,1017649,1317,-2300,404,1.23,15.61,4.49,C
