代號,名稱,日期,開盤,最高,最低,收盤,成交量
2330,台積電,2019/07/18,252.00,254.50,251.50,254.00,"20,843"
2330,台積電,2019/07/17,254.00,254.00,251.00,252.00,"25,500"
2330,台積電,2019/07/16,254.00,256.50,253.50,256.00,"21,361"
2330,台積電,2019/07/15,251.00,254.50,249.50,254.50,"29,727"
2330,台積電,2019/07/12,252.00,252.00,249.50,250.50,"23,479"
2330,台積電,2019/07/11,250.00,250.00,247.50,250.00,"31,160"
2330,台積電,2019/07/10,243.00,247.00,243.00,247.00,"23,812"
2330,台積電,2019/07/09,241.50,243.00,240.50,242.00,"16,419"
2330,台積電,2019/07/08,240.00,244.50,240.00,242.50,"27,788"
2330,台積電,2019/07/05,244.50,245.00,241.50,243.00,"22,867"
2330,台積電,2019/07/04,244.50,245.00,242.50,244.00,"17,481"
2330,台積電,2019/07/03,244.00,245.00,242.00,242.50,"29,450"
2330,台積電,2019/07/02,249.50,250.00,247.50,249.00,"24,181"
2330,台積電,2019/07/01,245.50,250.00,245.00,248.50,"66,308"
2330,台積電,2019/06/28,241.50,241.50,238.00,239.00,"25,855"
2330,台積電,2019/06/27,236.00,241.50,236.00,240.50,"42,008"
2330,台積電,2019/06/26,235.00,236.50,234.00,234.50,"27,607"
2330,台積電,2019/06/25,241.00,241.50,237.00,238.50,"28,467"
2330,台積電,2019/06/24,241.00,242.00,240.00,241.00,"43,301"
2330,台積電,2019/06/21,248.00,248.50,246.00,248.50,"61,164"
2330,台積電,2019/06/20,242.00,245.50,241.00,245.00,"37,836"
2330,台積電,2019/06/19,242.50,244.00,240.50,244.00,"50,164"
2330,台積電,2019/06/18,234.00,235.50,233.00,235.50,"28,578"
2330,台積電,2019/06/17,231.50,235.00,230.50,233.00,"51,017"
2330,台積電,2019/06/14,238.50,239.50,236.00,236.00,"31,952"
2330,台積電,2019/06/13,242.50,244.00,240.00,240.00,"32,982"
2330,台積電,2019/06/12,244.50,247.50,243.00,246.00,"29,676"
2330,台積電,2019/06/11,240.00,246.00,239.00,244.50,"31,966"
2330,台積電,2019/06/10,237.50,240.00,234.50,240.00,"35,374"
2330,台積電,2019/06/06,231.50,232.00,229.50,232.00,"34,586"
2330,台積電,2019/06/05,238.00,238.00,234.00,235.00,"29,140"
2330,台積電,2019/06/04,237.50,238.00,233.00,233.00,"24,443"
2330,台積電,2019/06/03,235.50,238.50,232.00,238.00,"30,998"
2330,台積電,2019/05/31,232.00,237.50,231.00,235.50,"46,070"
2330,台積電,2019/05/30,230.00,231.50,229.00,231.00,"28,500"
2330,台積電,2019/05/29,228.00,230.50,227.00,229.50,"26,533"
2330,台積電,2019/05/28,232.00,232.00,230.50,230.50,"95,240"
2330,台積電,2019/05/27,234.00,235.00,231.00,231.00,"35,562"
2330,台積電,2019/05/24,230.00,234.00,230.00,233.00,"36,001"
2330,台積電,2019/05/23,233.50,233.50,230.00,230.00,"58,753"
2330,台積電,2019/05/22,236.50,240.50,235.50,238.00,"34,622"
2330,台積電,2019/05/21,233.50,236.00,232.50,234.00,"80,043"
2330,台積電,2019/05/20,242.50,243.00,238.00,238.00,"39,158"
2330,台積電,2019/05/17,249.00,249.00,241.50,241.50,"38,648"
2330,台積電,2019/05/16,248.50,249.50,246.00,247.00,"29,714"
2330,台積電,2019/05/15,251.00,252.00,249.00,249.00,"36,825"
2330,台積電,2019/05/14,247.50,251.00,245.00,248.50,"45,056"
2330,台積電,2019/05/13,253.00,254.00,249.50,250.50,"28,219"
2330,台積電,2019/05/10,257.00,259.00,255.00,256.00,"18,617"
2330,台積電,2019/05/09,259.50,259.50,256.00,256.50,"33,588"
2330,台積電,2019/05/08,260.00,261.50,259.50,260.00,"25,542"
2330,台積電,2019/05/07,259.50,263.00,259.00,262.50,"25,686"
2330,台積電,2019/05/06,260.00,260.00,258.00,259.00,"32,783"
2330,台積電,2019/05/03,262.00,265.00,260.50,265.00,"29,739"
2330,台積電,2019/05/02,261.50,262.50,258.50,259.00,"27,091"
2330,台積電,2019/04/30,260.00,260.50,258.00,259.00,"33,799"
2330,台積電,2019/04/29,260.00,262.00,258.50,259.50,"31,127"
2330,台積電,2019/04/26,262.00,263.00,257.50,260.00,"47,519"
2330,台積電,2019/04/25,268.50,269.00,267.00,267.50,"32,387"
2330,台積電,2019/04/24,270.00,270.00,267.50,269.00,"26,450"
2330,台積電,2019/04/23,266.50,268.00,266.00,268.00,"25,337"
2330,台積電,2019/04/22,266.50,267.50,265.00,266.00,"24,967"
2330,台積電,2019/04/19,269.00,269.50,263.50,264.50,"44,659"
2330,台積電,2019/04/18,264.00,266.00,263.50,264.50,"38,007"
2330,台積電,2019/04/17,260.00,263.00,259.50,261.50,"37,864"
2330,台積電,2019/04/16,257.00,257.00,255.50,257.00,"19,653"
2330,台積電,2019/04/15,255.00,256.00,254.00,255.50,"17,156"
2330,台積電,2019/04/12,251.50,253.00,251.00,252.00,"13,548"
2330,台積電,2019/04/11,253.00,254.00,251.50,252.00,"24,897"
2330,台積電,2019/04/10,253.00,254.50,252.00,254.00,"25,850"
2330,台積電,2019/04/09,253.00,254.00,252.00,254.00,"22,356"
2330,台積電,2019/04/08,251.00,253.00,250.50,253.00,"45,185"
2330,台積電,2019/04/03,249.00,249.00,246.50,246.50,"24,945"
2330,台積電,2019/04/02,249.50,249.50,246.00,246.00,"24,105"
2330,台積電,2019/04/01,251.00,251.00,245.00,245.50,"35,331"
2330,台積電,2019/03/29,243.00,245.50,240.50,245.50,"28,221"
2330,台積電,2019/03/28,240.50,242.50,240.00,242.00,"13,933"
2330,台積電,2019/03/27,242.00,242.50,240.50,241.50,"22,590"
2330,台積電,2019/03/26,243.00,244.00,241.00,244.00,"19,920"
2330,台積電,2019/03/25,240.50,243.50,240.50,241.50,"19,211"
2330,台積電,2019/03/22,248.00,248.50,244.50,248.50,"22,931"
2330,台積電,2019/03/21,242.50,245.50,241.00,245.50,"26,180"
2330,台積電,2019/03/20,242.00,242.00,239.50,242.00,"22,976"
2330,台積電,2019/03/19,239.00,240.50,238.00,240.50,"14,479"
2330,台積電,2019/03/18,239.50,241.00,239.00,241.00,"26,857"
2330,台積電,2019/03/15,237.00,239.50,235.50,239.00,"33,650"
2330,台積電,2019/03/14,239.00,239.00,234.00,234.50,"17,175"
2330,台積電,2019/03/13,234.00,237.00,234.00,237.00,"20,500"
2330,台積電,2019/03/12,233.00,237.00,232.50,235.50,"23,588"
2330,台積電,2019/03/11,228.00,230.50,227.50,230.50,"23,201"
2330,台積電,2019/03/08,231.00,231.50,229.00,230.00,"22,191"
2330,台積電,2019/03/07,235.00,235.00,233.00,234.00,"17,126"
2330,台積電,2019/03/06,235.00,235.50,233.50,234.00,"20,433"
2330,台積電,2019/03/05,234.00,234.50,232.50,233.00,"22,641"
2330,台積電,2019/03/04,239.50,239.50,234.50,235.50,"39,656"
