id,t_date,code,name,p_open,p_high,p_low,p_close,volume
2.3302E+11,2019/7/24,2330,台積電,266.5,266.5,263,265,23687
2.3302E+11,2019/7/23,2330,台積電,265.5,266.5,262.5,264,29273
2.3302E+11,2019/7/22,2330,台積電,263,264,262,264,31523
2.3302E+11,2019/7/19,2330,台積電,259.5,261,259,259,59710
2.3172E+11,2019/7/24,2317,鴻海,81.2,81.5,80.8,81.3,72337
2.3172E+11,2019/7/23,2317,鴻海,81.1,81.4,80.3,80.9,38228
2.3172E+11,2019/7/22,2317,鴻海,79.5,80.8,79.4,80.6,38578
2.3172E+11,2019/7/19,2317,鴻海,79.6,80.4,79.3,79.3,24477
1.3012E+11,2019/7/24,1301,台塑,103,103,101,101,6184
1.3012E+11,2019/7/23,1301,台塑,102,103.5,102,103.5,6511
1.3012E+11,2019/7/22,1301,台塑,101.5,102.5,101,102,6772
1.3012E+11,2019/7/19,1301,台塑,101.5,102,100.5,101,5957
2.4542E+11,2019/7/24,2454,聯發科,315,315.5,307.5,308,8461
2.4542E+11,2019/7/23,2454,聯發科,310,315,310,314.5,7586
2.4542E+11,2019/7/22,2454,聯發科,306,309.5,305.5,308.5,7019
2.4542E+11,2019/7/19,2454,聯發科,307.5,308,302.5,304.5,7334
1.3032E+11,2019/7/24,1303,南亞,71.5,71.7,71.2,71.4,8968
1.3032E+11,2019/7/23,1303,南亞,71.9,72,71.5,71.7,7806
1.3032E+11,2019/7/22,1303,南亞,71.9,72.2,71.8,71.9,6530
1.3032E+11,2019/7/19,1303,南亞,72,72.3,71.8,71.9,3716
2.4122E+11,2019/7/24,2412,中華電,112,112.5,112,112,12496
2.4122E+11,2019/7/23,2412,中華電,112.5,113,112,112,11408
2.4122E+11,2019/7/22,2412,中華電,112,112.5,112,112.5,5177
2.4122E+11,2019/7/19,2412,中華電,112,112.5,112,112,4725
1.2162E+11,2019/7/24,1216,統一,81,81.6,81,81.3,7622
1.2162E+11,2019/7/23,1216,統一,81.7,81.7,80.9,80.9,6033
1.2162E+11,2019/7/22,1216,統一,81.8,81.9,81.5,81.6,3529
1.2162E+11,2019/7/19,1216,統一,81.8,82.4,81.3,81.8,5567
3.0082E+11,2019/7/24,3008,大立光,4270,4305,4240,4255,575
3.0082E+11,2019/7/23,3008,大立光,4300,4310,4200,4225,756
3.0082E+11,2019/7/22,3008,大立光,4200,4235,4170,4225,474
