id,t_date,code,name,p_open,p_high,p_low,p_close,volume
233020131231,2013/12/31,2330,台積電,105.50,106.00,105.00,105.50,24485
233020131230,2013/12/30,2330,台積電,104.00,106.00,104.00,106.00,44280
233020131227,2013/12/27,2330,台積電,103.50,104.50,103.00,104.50,24135
233020131226,2013/12/26,2330,台積電,103.00,104.00,103.00,104.00,6794
233020131225,2013/12/25,2330,台積電,102.50,103.50,102.50,103.00,9789
233020131224,2013/12/24,2330,台積電,104.00,104.00,103.00,103.00,14079
233020131223,2013/12/23,2330,台積電,103.00,104.50,103.00,104.00,28294
233020131220,2013/12/20,2330,台積電,101.50,103.50,101.50,102.00,37619
233020131219,2013/12/19,2330,台積電,102.00,103.00,101.50,102.50,27825
233020131218,2013/12/18,2330,台積電,102.50,103.00,101.00,101.00,55456
233020131217,2013/12/17,2330,台積電,103.00,104.50,103.00,103.50,26233
233020131216,2013/12/16,2330,台積電,102.50,103.00,102.00,102.00,18772
233020131213,2013/12/13,2330,台積電,102.50,103.50,102.50,102.50,28297
233020131212,2013/12/12,2330,台積電,104.50,104.50,103.00,103.00,18320
233020131211,2013/12/11,2330,台積電,103.50,105.00,103.50,105.00,24614
233020131210,2013/12/10,2330,台積電,104.50,105.00,104.00,104.00,22331
233020131209,2013/12/09,2330,台積電,104.00,105.00,104.00,105.00,23972
233020131206,2013/12/06,2330,台積電,103.00,104.50,103.00,103.00,25140
233020131205,2013/12/05,2330,台積電,105.00,105.00,103.50,104.00,25209
233020131204,2013/12/04,2330,台積電,103.50,105.50,103.50,105.00,23455
233020131203,2013/12/03,2330,台積電,104.00,105.00,103.50,104.00,21861
233020131202,2013/12/02,2330,台積電,105.00,105.50,104.00,104.50,18893
233020131129,2013/11/29,2330,台積電,104.50,105.00,104.00,105.00,34465
233020131128,2013/11/28,2330,台積電,105.00,105.50,104.50,105.00,22776
233020131127,2013/11/27,2330,台積電,105.00,105.50,104.50,105.00,21854
233020131126,2013/11/26,2330,台積電,102.00,105.00,101.50,103.50,45017
233020131125,2013/11/25,2330,台積電,101.00,102.50,101.00,101.00,30949
233020131122,2013/11/22,2330,台積電,100.00,101.50,100.00,100.00,56921
233020131121,2013/11/21,2330,台積電,102.00,103.00,100.50,101.00,56555
