id,t_date,code,name,p_open,p_high,p_low,p_close,volume
233020190723,2019/07/23,2330,台積電,265.50,266.50,262.50,264.00,"29,273"
231720190723,2019/07/23,2317,鴻海,81.10,81.40,80.30,80.90,"38,228"
130120190723,2019/07/23,1301,台塑,102.00,103.50,102.00,103.50,"6,511"
245420190723,2019/07/23,2454,聯發科,310.00,315.00,310.00,314.50,"7,586"
130320190723,2019/07/23,1303,南亞,71.90,72.00,71.50,71.70,"7,806"
241220190723,2019/07/23,2412,中華電,112.50,113.00,112.00,112.00,"11,408"
121620190723,2019/07/23,1216,統一,81.70,81.70,80.90,80.90,"6,033"
300820190723,2019/07/23,3008,大立光,"4,300.00","4,310.00","4,200.00","4,225.00",756
289120190723,2019/07/23,2891,中信金,20.55,20.60,20.50,20.50,"13,855"
132620190723,2019/07/23,1326,台化,96.50,96.80,96.40,96.40,"3,260"
230820190723,2019/07/23,2308,台達電,149.50,150.00,147.50,149.50,"5,487"
288220190723,2019/07/23,2882,國泰金,41.30,41.35,41.20,41.20,"9,902"
288120190723,2019/07/23,2881,富邦金,43.65,43.70,43.55,43.55,"7,715"
288620190723,2019/07/23,2886,兆豐金,32.00,32.15,32.00,32.10,"11,788"
200220190723,2019/07/23,2002,中鋼,24.90,25.00,24.90,24.90,"13,113"
288420190723,2019/07/23,2884,玉山金,27.95,28.10,27.90,28.10,"37,089"
289220190723,2019/07/23,2892,第一金,23.05,23.15,23.05,23.10,"9,490"
110120190723,2019/07/23,1101,台泥,45.00,45.10,44.75,45.05,"12,970"
288520190723,2019/07/23,2885,元大金,17.60,17.65,17.50,17.60,"13,321"
371120190723,2019/07/23,3711,日月光投控,70.60,71.90,70.60,71.00,"8,011"
304520190723,2019/07/23,3045,台灣大,111.00,111.00,110.50,110.50,"2,365"
588020190723,2019/07/23,5880,合庫金,21.05,21.10,21.00,21.00,"4,738"
288020190723,2019/07/23,2880,華南金,21.40,21.45,21.35,21.40,"8,930"
291220190723,2019/07/23,2912,統一超,304.50,306.00,304.00,304.00,928
587620190723,2019/07/23,5876,上海商銀,55.70,55.90,55.10,55.30,"3,836"
247420190723,2019/07/23,2474,可成,228.00,231.00,227.00,229.50,"4,367"
220720190723,2019/07/23,2207,和泰車,465.00,471.00,457.50,460.00,389
238220190723,2019/07/23,2382,廣達,61.40,61.60,60.90,61.10,"7,621"
230320190723,2019/07/23,2303,聯電,13.60,13.75,13.55,13.60,"29,468"
235720190723,2019/07/23,2357,華碩,224.00,224.50,222.00,224.50,971
587120190723,2019/07/23,5871,中租-KY,139.50,140.00,136.00,136.00,"3,449"
650520190723,2019/07/23,6505,台塑化,107.50,107.50,107.00,107.50,"1,254"
288720190723,2019/07/23,2887,台新金,14.80,14.80,14.60,14.65,"18,728"
289020190723,2019/07/23,2890,永豐金,12.60,12.60,12.40,12.50,"17,782"
140220190723,2019/07/23,1402,遠東新,31.25,31.35,30.70,30.80,"11,921"
288320190723,2019/07/23,2883,開發金,9.32,9.33,9.26,9.26,"18,120"
280120190723,2019/07/23,2801,彰銀,21.85,21.85,21.60,21.60,"7,978"
490420190723,2019/07/23,4904,遠傳,72.00,72.40,71.90,72.20,"2,008"
110220190723,2019/07/23,1102,亞泥,46.80,46.85,46.05,46.80,"19,007"
493820190723,2019/07/23,4938,和碩,55.80,56.10,55.80,55.90,"3,413"
232720190723,2019/07/23,2327,國巨,255.00,258.50,254.00,255.00,"4,604"
990420190723,2019/07/23,9904,寶成,39.05,39.40,38.80,39.20,"6,212"
239520190723,2019/07/23,2395,研華,261.00,270.00,260.50,269.50,925
230120190723,2019/07/23,2301,光寶科,43.10,43.75,43.05,43.70,"7,313"
263320190723,2019/07/23,2633,台灣高鐵,43.15,43.75,42.80,43.45,"10,508"
240920190723,2019/07/23,2409,友達,8.98,9.00,8.92,8.93,"30,377"
991020190723,2019/07/23,9910,豐泰,212.00,217.00,211.50,215.00,"2,491"
210520190723,2019/07/23,2105,正新,39.45,39.80,39.40,39.65,"2,892"
282320190723,2019/07/23,2823,中壽,26.20,26.30,26.10,26.15,"9,057"
240820190723,2019/07/23,2408,南亞科,71.30,72.90,71.30,72.30,"41,537"
