代號,交易日期,外資庫存,外資買賣超,投信買賣超,自營買賣超
2330,2019-07-19,"20,037,661","24,018",403,"-1,211"
2317,2019-07-19,"5,713,856","-5,892",-1,"1,358"
1301,2019-07-19,"2,414,706",-744,-11,10
2454,2019-07-19,"966,282",936,-473,-9
1303,2019-07-19,"2,367,642",30,1,-200
2412,2019-07-19,"1,335,105","1,628",1,30
1216,2019-07-19,"3,191,407","1,724",1,-247
3008,2019-07-19,"61,927",-98,2,-16
2891,2019-07-19,"7,828,983","-13,826",0,119
1326,2019-07-19,"2,212,789",-653,-345,13
2308,2019-07-19,"1,784,174",-10,-355,-51
2882,2019-07-19,"2,878,450","-4,737",0,-29
2881,2019-07-19,"2,724,134",-89,0,-48
2886,2019-07-19,"3,731,230",-222,-443,122
2002,2019-07-19,"3,305,838","2,875",1,0
2884,2019-07-19,"4,895,689","5,807",0,590
2892,2019-07-19,"3,304,639",855,0,-371
1101,2019-07-19,"1,474,472","1,235","-1,689",775
2885,2019-07-19,"4,941,853","-1,965",0,1
3711,2019-07-19,"3,174,944","3,049","2,707",-632
3045,2019-07-19,"712,543",500,-334,9
5880,2019-07-19,"2,709,028",864,0,-24
2880,2019-07-19,"2,327,773","2,688",0,-20
2912,2019-07-19,"419,053",662,0,36
5876,2019-07-19,"2,314,782","1,138",-100,-13
2474,2019-07-19,"495,493","-1,221",12,34
2207,2019-07-19,"123,067",-126,-4,1
2382,2019-07-19,"1,012,471","-4,582",6,855
2303,2019-07-19,"6,013,869","-2,384",654,-174
2357,2019-07-19,"478,935",685,2,17
5871,2019-07-19,"1,006,534","1,023",0,-3
6505,2019-07-19,"799,105",328,196,0
2887,2019-07-19,"2,886,570",-828,0,-24
2890,2019-07-19,"3,417,284","2,249",300,-41
1402,2019-07-19,"1,203,907","-1,097",-804,-632
2883,2019-07-19,"4,250,235","-1,767",0,0
2801,2019-07-19,"1,635,632","2,855",0,-13
4904,2019-07-19,"799,798",548,0,-192
1102,2019-07-19,"925,189","-3,161",-399,"2,067"
4938,2019-07-19,"994,685",-235,4,-16
2327,2019-07-19,"180,695",-109,-55,-17
9904,2019-07-19,"1,740,498","2,510",-20,179
2395,2019-07-19,"279,638",99,1,-12
2301,2019-07-19,"1,220,104","-1,111",0,"1,510"
2633,2019-07-19,"874,610",144,1,14
2409,2019-07-19,"3,184,785","-20,809",20,"-1,664"
9910,2019-07-19,"161,782",25,0,10
2105,2019-07-19,"380,684",246,0,875
2823,2019-07-19,"1,273,164","2,938",0,-533
2408,2019-07-19,"673,738","2,554",441,-78
