id,t_date,code,name,p_open,p_high,p_low,p_close,volume,ma5,ma10,ma20,ma60,ma22,ma46,ma92,ma95,ma200,ma400,industrial
230320190731,2019/7/31,2303,聯電,13.7,13.9,13.65,13.8,56483,13.51,13.62,13.96,13.52,13.98,13.68,13.08,13.04,12.32,14.12,半導體業
230320190730,2019/7/30,2303,聯電,13.5,13.75,13.45,13.6,40138,13.52,13.62,13.98,13.52,14,13.66,13.06,13.01,12.32,14.12,半導體業
230320190729,2019/7/29,2303,聯電,13.3,13.45,13.3,13.4,23291,13.52,13.66,14.01,13.51,14.02,13.64,13.04,12.99,12.33,14.12,半導體業
230320190726,2019/7/26,2303,聯電,13.55,13.55,13.2,13.2,64243,13.56,13.81,14.05,13.52,14.05,13.63,13.02,12.97,12.35,14.13,半導體業
230320190725,2019/7/25,2303,聯電,13.85,13.95,13.4,13.55,91753,13.68,13.95,14.09,13.52,14.08,13.63,13,12.96,12.36,14.14,半導體業
230320190724,2019/7/24,2303,聯電,13.7,13.9,13.6,13.85,36239,13.73,14.08,14.11,13.52,14.08,13.62,12.98,12.94,12.37,14.14,半導體業
230320190723,2019/7/23,2303,聯電,13.6,13.75,13.55,13.6,29468,13.71,14.17,14.11,13.51,14.08,13.59,12.96,12.91,12.38,14.14,半導體業
230320190722,2019/7/22,2303,聯電,13.75,13.85,13.55,13.6,32143,13.79,14.21,14.12,13.51,14.08,13.58,12.93,12.89,12.39,14.15,半導體業
230320190719,2019/7/19,2303,聯電,13.9,14.05,13.8,13.8,27177,14.05,14.24,14.12,13.5,14.07,13.56,12.91,12.87,12.41,14.15,半導體業
230320190718,2019/7/18,2303,聯電,13.8,13.9,13.75,13.8,19897,14.21,14.27,14.12,13.47,14.07,13.54,12.89,12.85,12.41,14.16,半導體業
230320190717,2019/7/17,2303,聯電,13.9,13.95,13.75,13.75,36203,14.44,14.3,14.1,13.44,14.04,13.53,12.87,12.82,12.42,14.17,半導體業
230320190716,2019/7/16,2303,聯電,14.35,14.35,13.95,14,66174,14.62,14.33,14.09,13.41,14.04,13.51,12.84,12.8,12.43,14.17,半導體業
230320190715,2019/7/15,2303,聯電,14.65,14.9,14.5,14.9,62793,14.62,14.36,14.06,13.38,14.02,13.49,12.82,12.78,12.44,14.18,半導體業
230320190712,2019/7/12,2303,聯電,14.8,14.9,14.6,14.6,62666,14.43,14.3,13.99,13.33,13.97,13.45,12.78,12.74,12.44,14.18,半導體業
230320190711,2019/7/11,2303,聯電,14.7,15,14.6,14.95,92427,14.33,14.24,13.95,13.29,13.92,13.43,12.75,12.71,12.45,14.18,半導體業
230320190710,2019/7/10,2303,聯電,14.1,14.7,14.1,14.65,61151,14.17,14.14,13.89,13.24,13.85,13.4,12.71,12.67,12.45,14.18,半導體業
230320190709,2019/7/9,2303,聯電,13.95,14.1,13.85,14,24138,14.05,14.06,13.83,13.2,13.79,13.37,12.68,12.64,12.46,14.19,半導體業
230320190708,2019/7/8,2303,聯電,13.95,14.05,13.8,13.95,25192,14.1,14.03,13.8,13.17,13.75,13.37,12.65,12.61,12.46,14.19,半導體業
230320190705,2019/7/5,2303,聯電,14.05,14.2,13.9,14.1,20385,14.18,14.01,13.77,13.14,13.7,13.36,12.62,12.58,12.47,14.2,半導體業
230320190704,2019/7/4,2303,聯電,14.1,14.2,14,14.15,12645,14.15,13.97,13.72,13.11,13.65,13.34,12.59,12.55,12.49,14.2,半導體業
230320190703,2019/7/3,2303,聯電,14.15,14.25,14,14.05,22615,14.12,13.89,13.66,13.08,13.61,13.32,12.56,12.52,12.5,14.2,半導體業
230320190702,2019/7/2,2303,聯電,14.4,14.4,14.2,14.25,17392,14.07,13.85,13.61,13.04,13.55,13.31,12.53,12.49,12.52,14.21,半導體業
230320190701,2019/7/1,2303,聯電,14.05,14.45,14.05,14.35,47181,13.96,13.75,13.55,13,13.49,13.29,12.5,12.45,12.53,14.21,半導體業
230320190628,2019/6/28,2303,聯電,14.1,14.1,13.85,13.95,32308,13.84,13.68,13.48,12.95,13.41,13.23,12.47,12.42,12.55,14.21,半導體業
230320190627,2019/6/27,2303,聯電,13.95,14.1,13.9,14,62429,13.79,13.66,13.42,12.91,13.34,13.19,12.44,12.4,12.56,14.22,半導體業
230320190626,2019/6/26,2303,聯電,13.85,13.95,13.75,13.8,59485,13.67,13.63,13.35,12.87,13.28,13.15,12.4,12.38,12.58,14.22,半導體業
