id,t_date,code,name,p_open,p_high,p_low,p_close,volume,industrial
233020190731 ,2019/7/31,2330,台積電,260,260,257,259.5,31636,半導體業
233020190730 ,2019/7/30,2330,台積電,262.5,263,260,260,22671,半導體業
233020190729 ,2019/7/29,2330,台積電,260,262,259.5,261,17509,半導體業
233020190726 ,2019/7/26,2330,台積電,261,262.5,261,261,20438,半導體業
233020190725 ,2019/7/25,2330,台積電,264,265,261.5,265,30434,半導體業
233020190724 ,2019/7/24,2330,台積電,266.5,266.5,263,265,23687,半導體業
233020190723 ,2019/7/23,2330,台積電,265.5,266.5,262.5,264,29273,半導體業
233020190722 ,2019/7/22,2330,台積電,263,264,262,264,31523,半導體業
233020190719 ,2019/7/19,2330,台積電,259.5,261,259,259,59710,半導體業
233020190718 ,2019/7/18,2330,台積電,252,254.5,251.5,254,20843,半導體業
233020190717 ,2019/7/17,2330,台積電,254,254,251,252,25500,半導體業
233020190716 ,2019/7/16,2330,台積電,254,256.5,253.5,256,21361,半導體業
233020190715 ,2019/7/15,2330,台積電,251,254.5,249.5,254.5,29727,半導體業
233020190712 ,2019/7/12,2330,台積電,252,252,249.5,250.5,23479,半導體業
233020190711 ,2019/7/11,2330,台積電,250,250,247.5,250,31160,半導體業
233020190710 ,2019/7/10,2330,台積電,243,247,243,247,23812,半導體業
233020190709 ,2019/7/9,2330,台積電,241.5,243,240.5,242,16419,半導體業
233020190708 ,2019/7/8,2330,台積電,240,244.5,240,242.5,27788,半導體業
233020190705 ,2019/7/5,2330,台積電,244.5,245,241.5,243,22867,半導體業
233020190704 ,2019/7/4,2330,台積電,244.5,245,242.5,244,17481,半導體業
233020190703 ,2019/7/3,2330,台積電,244,245,242,242.5,29450,半導體業
233020190702 ,2019/7/2,2330,台積電,249.5,250,247.5,249,24181,半導體業
233020190701 ,2019/7/1,2330,台積電,245.5,250,245,248.5,66308,半導體業
233020190628 ,2019/6/28,2330,台積電,241.5,241.5,238,239,25855,半導體業
233020190627 ,2019/6/27,2330,台積電,236,241.5,236,240.5,42008,半導體業
233020190626 ,2019/6/26,2330,台積電,235,236.5,234,234.5,27607,半導體業
233020190625 ,2019/6/25,2330,台積電,241,241.5,237,238.5,28467,半導體業
233020190624 ,2019/6/24,2330,台積電,241,242,240,241,43301,半導體業
233020190621 ,2019/6/21,2330,台積電,248,248.5,246,248.5,61164,半導體業
233020190620 ,2019/6/20,2330,台積電,242,245.5,241,245,37836,半導體業
233020190619 ,2019/6/19,2330,台積電,242.5,244,240.5,244,50164,半導體業
233020190618 ,2019/6/18,2330,台積電,234,235.5,233,235.5,28578,半導體業
233020190617 ,2019/6/17,2330,台積電,231.5,235,230.5,233,51017,半導體業
233020190614 ,2019/6/14,2330,台積電,238.5,239.5,236,236,31952,半導體業
233020190613 ,2019/6/13,2330,台積電,242.5,244,240,240,32982,半導體業
233020190612 ,2019/6/12,2330,台積電,244.5,247.5,243,246,29676,半導體業
233020190611 ,2019/6/11,2330,台積電,240,246,239,244.5,31966,半導體業
233020190610 ,2019/6/10,2330,台積電,237.5,240,234.5,240,35374,半導體業
233020190606 ,2019/6/6,2330,台積電,231.5,232,229.5,232,34586,半導體業
233020190605 ,2019/6/5,2330,台積電,238,238,234,235,29140,半導體業
233020190604 ,2019/6/4,2330,台積電,237.5,238,233,233,24443,半導體業
233020190603 ,2019/6/3,2330,台積電,235.5,238.5,232,238,30998,半導體業
233020190531 ,2019/5/31,2330,台積電,232,237.5,231,235.5,46070,半導體業
233020190530 ,2019/5/30,2330,台積電,230,231.5,229,231,28500,半導體業
233020190529 ,2019/5/29,2330,台積電,228,230.5,227,229.5,26533,半導體業
233020190528 ,2019/5/28,2330,台積電,232,232,230.5,230.5,95240,半導體業
233020190527 ,2019/5/27,2330,台積電,234,235,231,231,35562,半導體業
233020190524 ,2019/5/24,2330,台積電,230,234,230,233,36001,半導體業
233020190523 ,2019/5/23,2330,台積電,233.5,233.5,230,230,58753,半導體業
233020190522 ,2019/5/22,2330,台積電,236.5,240.5,235.5,238,34622,半導體業
233020190521 ,2019/5/21,2330,台積電,233.5,236,232.5,234,80043,半導體業
233020190520 ,2019/5/20,2330,台積電,242.5,243,238,238,39158,半導體業
233020190517 ,2019/5/17,2330,台積電,249,249,241.5,241.5,38648,半導體業
233020190516 ,2019/5/16,2330,台積電,248.5,249.5,246,247,29714,半導體業
233020190515 ,2019/5/15,2330,台積電,251,252,249,249,36825,半導體業
233020190514 ,2019/5/14,2330,台積電,247.5,251,245,248.5,45056,半導體業
233020190513 ,2019/5/13,2330,台積電,253,254,249.5,250.5,28219,半導體業
233020190510 ,2019/5/10,2330,台積電,257,259,255,256,18617,半導體業
233020190509 ,2019/5/9,2330,台積電,259.5,259.5,256,256.5,33588,半導體業
233020190508 ,2019/5/8,2330,台積電,260,261.5,259.5,260,25542,半導體業
233020190507 ,2019/5/7,2330,台積電,259.5,263,259,262.5,25686,半導體業
233020190506 ,2019/5/6,2330,台積電,260,260,258,259,32783,半導體業
233020190503 ,2019/5/3,2330,台積電,262,265,260.5,265,29739,半導體業
233020190502 ,2019/5/2,2330,台積電,261.5,262.5,258.5,259,27091,半導體業
233020190430 ,2019/4/30,2330,台積電,260,260.5,258,259,33799,半導體業
233020190429 ,2019/4/29,2330,台積電,260,262,258.5,259.5,31127,半導體業
233020190426 ,2019/4/26,2330,台積電,262,263,257.5,260,47519,半導體業
233020190425 ,2019/4/25,2330,台積電,268.5,269,267,267.5,32387,半導體業
