id,t_date,code,name,p_open,p_high,p_low,p_close,volume,industrial
288120190731 ,2019/7/31,2881,富邦金,43.5,43.5,43.1,43.2,14403,金融保險業
288120190730 ,2019/7/30,2881,富邦金,43.55,43.65,43.5,43.5,5942,金融保險業
288120190729 ,2019/7/29,2881,富邦金,43.4,43.65,43.4,43.55,6059,金融保險業
288120190726 ,2019/7/26,2881,富邦金,43.65,43.65,43.4,43.5,5637,金融保險業
288120190725 ,2019/7/25,2881,富邦金,43.45,43.9,43.45,43.9,4880,金融保險業
288120190724 ,2019/7/24,2881,富邦金,43.5,43.7,43.4,43.45,7420,金融保險業
288120190723 ,2019/7/23,2881,富邦金,43.65,43.7,43.55,43.55,7715,金融保險業
288120190722 ,2019/7/22,2881,富邦金,43.5,43.9,43.5,43.6,9167,金融保險業
288120190719 ,2019/7/19,2881,富邦金,43.5,43.85,43.5,43.5,6724,金融保險業
288120190718 ,2019/7/18,2881,富邦金,43.4,43.6,43.35,43.45,6648,金融保險業
288120190717 ,2019/7/17,2881,富邦金,43.8,43.8,43.5,43.5,11217,金融保險業
288120190716 ,2019/7/16,2881,富邦金,43.85,44,43.85,44,7962,金融保險業
288120190715 ,2019/7/15,2881,富邦金,44,44,43.75,43.85,6925,金融保險業
288120190712 ,2019/7/12,2881,富邦金,44.15,44.15,43.95,43.95,6601,金融保險業
288120190711 ,2019/7/11,2881,富邦金,44.35,44.4,44.1,44.2,5633,金融保險業
288120190710 ,2019/7/10,2881,富邦金,44.3,44.45,44.1,44.3,7903,金融保險業
288120190709 ,2019/7/9,2881,富邦金,44.2,44.2,43.9,44.05,7747,金融保險業
288120190708 ,2019/7/8,2881,富邦金,44.3,44.35,44,44.2,7873,金融保險業
288120190705 ,2019/7/5,2881,富邦金,44.4,44.45,44.1,44.3,10195,金融保險業
288120190704 ,2019/7/4,2881,富邦金,44.65,44.7,44.3,44.35,16219,金融保險業
288120190703 ,2019/7/3,2881,富邦金,46.25,46.25,45.95,46.1,27328,金融保險業
288120190702 ,2019/7/2,2881,富邦金,46.3,46.35,46,46.25,21702,金融保險業
288120190701 ,2019/7/1,2881,富邦金,45.95,46.3,45.95,46.25,19609,金融保險業
288120190628 ,2019/6/28,2881,富邦金,46,46.2,45.75,45.85,13431,金融保險業
288120190627 ,2019/6/27,2881,富邦金,45.45,46,45.45,45.8,24472,金融保險業
288120190626 ,2019/6/26,2881,富邦金,45.05,45.45,44.95,45.4,14804,金融保險業
288120190625 ,2019/6/25,2881,富邦金,44.9,45.05,44.85,44.9,6583,金融保險業
288120190624 ,2019/6/24,2881,富邦金,44.45,44.95,44.45,44.9,8785,金融保險業
288120190621 ,2019/6/21,2881,富邦金,44.7,44.75,44.45,44.45,18230,金融保險業
288120190620 ,2019/6/20,2881,富邦金,44.9,44.9,44.55,44.65,10851,金融保險業
288120190619 ,2019/6/19,2881,富邦金,44.6,44.9,44.5,44.8,16089,金融保險業
288120190618 ,2019/6/18,2881,富邦金,44.25,44.5,44.15,44.5,7132,金融保險業
